date,gdp,percapita
1947-12-31,998.462,1719.223702
1948-12-31,1097.871,1881.308846
1949-12-31,1089.901,1824.273628
1950-12-31,1199.309,1973.347351
1951-12-31,1387.653,2254.245934
1952-12-31,1469.363,2322.480875
1953-12-31,1556.87,2446.598533
1954-12-31,1562.196,2395.647354
1955-12-31,1701.918,2577.305756
1956-12-31,1797.41,2667.353811
1957-12-31,1896.158,2761.554604
1958-12-31,1924.914,2750.604438
1959-12-31,2086.617,2957.828956
1960-12-31,2169.529,3004.350187
1961-12-31,2248.839,3056.794625
1962-12-31,2415.686,3241.186717
1963-12-31,2549.806,3366.044891
1964-12-31,2737.846,3571.204135
1965-12-31,2969.161,3806.819227
1966-12-31,3253.655,4132.224053
1967-12-31,3439.825,4312.802306
1968-12-31,3762.586,4695.864481
1969-12-31,4070.46,5029.416774
1970-12-31,4293.242,5247.487626
1971-12-31,4659.399,5618.998921
1972-12-31,5116.448,6090.515269
1973-12-31,5701.504,6718.597833
1974-12-31,6180.97,7223.976751
1975-12-31,6739.62,7782.532394
1976-12-31,7493.65,8573.107269
1977-12-31,8327.3,9475.658951
1978-12-31,9406.395,10616.47491
1979-12-31,10509.305,11681.99527
1980-12-31,11429.234,12413.9875
1981-12-31,12828.165,13963.84422
1982-12-31,13375.157,14423.34928
1983-12-31,14536.146,15508.79598
1984-12-31,16150.456,17121.01641
1985-12-31,17355.922,18201.66311
1986-12-31,18318.53,19015.94752
1987-12-31,19420.865,19954.35495
1988-12-31,20945.752,21369.94294
1989-12-31,22566.318,22857.06985
1990-12-31,23852.578,23872.54496
1991-12-31,24632.517,24323.50355
1992-12-31,26081.309,25372.98025
1993-12-31,27434.234,26301.44089
1994-12-31,29148.946,27667.83996
1995-12-31,30558.997,28630.26581
1996-12-31,32292.487,29968.03818
1997-12-31,34310.21,31474.90218
1998-12-31,36251.267,32756.98881
1999-12-31,38522.65,34381.11403
2000-12-31,41009.386,36417.31596
2001-12-31,42327.289,37155.21885
2002-12-31,43745.673,38003.1985
2003-12-31,45832.983,39364.86186
2004-12-31,48854.921,41624.96012
2005-12-31,52146.548,44013.19287
2006-12-31,55258.436,46214.39702
2007-12-31,57807.436,47928.08315
2008-12-31,58851.38,48465.07497
2009-12-31,57795.73,46944.39555
2010-12-31,59968.208,48433.23917
2011-12-31,62170.327,49818.63654
2012-12-31,64788.029,51569.20464
2013-12-31,67139.402,52920.24415
2014-12-31,70086.988,55140.4149
2015-12-31,72877.186,56915.41129
2016-12-31,74828.755,57902.92617
2017-12-31,77941.576,59847.24163
2018-12-31,82002.542,62718.00941
