date, Unemployment Rate (%), Annual Change
1991-12-31,6.8,0
1992-12-31,7.5,0.7
1993-12-31,6.9,-0.6
1994-12-31,6.119,-0.78
1995-12-31,5.65,-0.47
1996-12-31,5.451,-0.2
1997-12-31,5,-0.45
1998-12-31,4.51,-0.49
1999-12-31,4.219,-0.29
2000-12-31,3.992,-0.23
2001-12-31,4.731,0.74
2002-12-31,5.783,1.05
2003-12-31,5.989,0.21
2004-12-31,5.529,-0.46
2005-12-31,5.083,-0.45
2006-12-31,4.623,-0.46
2007-12-31,4.622,0
2008-12-31,5.784,1.16
2009-12-31,9.254,3.47
2010-12-31,9.633,0.38
2011-12-31,8.949,-0.68
2012-12-31,8.069,-0.88
2013-12-31,7.375,-0.69
2014-12-31,6.168,-1.21
2015-12-31,5.28,-0.89
2016-12-31,4.869,-0.41
2017-12-31,4.355,-0.51
2018-12-31,3.896,-0.46
2019-12-31,3.682,-0.21
